date,branch,revenue,orders,profit,customer_rating,complaints,marketing_spend,online_orders,dinein_orders
2023-01-14,T Nagar,59629.92,134,10979.48,4.0,3,5124.75,67,67
2023-11-25,Anna Nagar,60108.01,152,14622.45,4.4,4,4997.62,56,96
2022-03-11,OMR,,76,7783.57,3.5,2,2773.02,40,36
2022-08-23,T Nagar,50522.96,130,9594.41,4.4,1,3935.93,64,66
2023-12-06,OMR,53958.11,121,10276.93,3.8,0,4074.65,63,58
2022-01-18,Anna Nagar,46078.73,103,10105.52,3.8,3,3898.37,52,51
2023-12-27,Adyar,61698.04,139,14733.62,,2,4436.55,73,66
2023-06-12,OMR,43885.78,99,10869.39,3.5,1,2676.13,49,50
2023-07-19,Anna Nagar,43099.61,98,11369.13,4.1,0,3626.36,56,42
2023-12-25,OMR,48221.74,107,10119.54,4.3,2,2547.48,61,46
2022-07-10,Adyar,67014.31,190,17543.28,4.7,2,5155.78,73,117
2023-03-04,T Nagar,62039.5,147,11618.96,4.1,1,5393.44,68,79
2023-06-23,Adyar,43286.75,106,10323.89,3.8,5,2186.0,53,53
2022-04-14,Velachery,39320.99,94,10947.66,4.6,3,3353.26,53,41
2022-11-23,Velachery,43577.47,104,10825.17,4.6,1,2368.27,37,67
2022-11-24,T Nagar,64578.13,153,14348.65,4.6,2,5312.48,80,73
2022-05-23,Velachery,32859.54,93,8673.35,4.3,3,2595.84,34,59
2022-10-13,Adyar,66191.79,179,13527.97,4.2,5,3416.47,101,78
2022-10-15,T Nagar,71018.57,176,14722.43,4.4,2,6066.74,82,94
2023-04-07,Anna Nagar,45723.65,103,11203.46,3.9,1,2035.66,60,43
2022-11-07,Adyar,48607.34,110,8960.84,4.2,1,2958.23,54,56
2022-07-25,OMR,53227.29,120,14582.55,4.4,0,3645.2,62,58
2023-02-20,Anna Nagar,49633.8,141,9627.43,3.6,5,3761.59,83,58
2023-05-14,Adyar,56569.59,146,11008.99,4.1,2,4989.08,51,95
2023-12-26,T Nagar,43975.01,111,9643.25,4.0,3,2857.7,53,58
2022-05-30,T Nagar,50226.36,137,10989.77,4.8,1,2475.17,75,62
2022-08-04,OMR,36450.75,96,6919.07,3.8,6,2176.63,56,40
2023-05-10,Velachery,34664.98,82,8057.01,4.3,4,2048.95,30,52
2022-09-27,Adyar,46585.21,131,12614.95,4.0,0,3891.82,52,79
2023-02-26,T Nagar,63347.65,159,15952.78,4.4,3,3600.94,80,79
2022-07-17,Adyar,65925.83,184,12799.16,3.7,3,5094.91,79,105
2022-12-25,Velachery,55592.91,123,14506.34,4.2,2,2606.1,52,71
2022-02-01,T Nagar,47781.08,136,10113.33,4.2,3,3529.09,64,72
2023-05-27,Anna Nagar,47391.86,128,8709.6,3.4,1,3420.2,53,75
2022-05-03,Velachery,35788.68,89,7581.21,4.1,1,1890.88,31,58
2022-10-06,OMR,46185.33,114,11991.56,4.4,4,2466.99,66,48
2022-04-04,Anna Nagar,15187.81,36,3334.55,3.3,7,,19,17
2022-09-14,Anna Nagar,47009.85,117,11709.61,4.0,1,3519.01,59,58
2023-07-15,Velachery,44959.54,108,10383.54,4.5,0,2330.91,62,46
2022-09-28,Anna Nagar,44749.52,105,8746.26,4.5,5,2880.23,48,57
2022-06-09,T Nagar,,126,12766.28,3.3,2,2787.46,71,55
2023-02-05,OMR,47126.45,134,9208.32,4.8,2,1898.89,66,68
2022-05-01,Anna Nagar,47776.58,121,12526.1,4.3,3,1914.02,51,70
2023-12-06,Velachery,49555.11,116,9946.59,4.6,2,3524.12,57,59
2023-01-02,Anna Nagar,53641.84,132,9875.83,4.6,0,4143.36,60,72
2022-02-22,Anna Nagar,44762.11,126,9563.89,3.6,3,2091.32,46,80
2022-06-29,Anna Nagar,35425.88,97,9763.08,4.0,5,1973.16,55,42
2022-01-27,Anna Nagar,43490.86,105,8025.39,3.6,3,2554.25,53,52
2023-08-07,T Nagar,54703.76,130,12202.62,3.9,1,2501.83,68,62
2022-10-17,Velachery,44261.5,109,11040.7,4.1,1,3913.37,59,50
2022-06-27,Adyar,41813.22,108,10050.28,4.7,5,3218.38,59,49
2022-10-07,Anna Nagar,43833.26,111,8610.63,4.1,5,2008.84,54,57
2023-07-16,Anna Nagar,56612.35,127,10461.05,4.6,3,4671.01,76,51
2023-10-25,Adyar,58808.92,139,13476.44,4.1,4,3656.09,66,73
2022-06-14,Velachery,40854.62,92,9254.02,3.6,2,2382.9,35,57
2022-11-12,Adyar,63906.39,154,13973.5,3.9,2,4832.36,91,63
2023-09-21,OMR,44275.27,113,9555.16,3.3,3,2130.54,66,47
2022-07-04,Anna Nagar,37311.57,85,10375.38,5.0,3,2252.84,47,38
2023-12-21,Velachery,115437.82,257,26026.33,4.4,2,9363.0,139,118
2022-11-18,Anna Nagar,59995.03,168,14395.57,3.8,1,5106.79,74,94
2022-07-16,Anna Nagar,53642.17,136,13515.97,4.2,4,3141.18,77,59
2022-08-04,Velachery,43723.53,123,11351.56,4.1,1,1889.57,72,51
2022-04-21,T Nagar,55063.48,124,12389.97,3.8,1,4251.74,57,67
2023-11-28,Adyar,60259.43,147,13111.94,4.4,1,2829.66,58,89
2023-10-10,Velachery,39097.22,103,10245.34,4.1,0,2759.5,45,58
2023-07-09,T Nagar,61017.38,138,14219.56,3.9,2,3651.1,66,72
2022-09-06,T Nagar,47621.38,129,10252.3,4.2,3,2798.97,59,70
2023-05-22,Velachery,33409.54,80,7595.74,4.4,1,1672.91,45,35
2022-07-12,Velachery,40827.59,103,10067.47,4.1,0,3334.64,43,60
2023-12-18,T Nagar,60335.33,152,12016.93,3.4,5,5194.1,74,78
2023-07-09,Anna Nagar,56784.67,150,11429.2,4.4,5,3985.11,71,79
2022-01-29,Velachery,46742.55,107,12010.98,4.1,5,2435.18,63,44
2023-05-05,OMR,35728.26,89,8576.05,3.9,2,1973.75,48,41
2022-04-19,T Nagar,50825.88,138,11095.62,4.5,2,4248.07,60,78
2023-09-11,Velachery,36749.93,89,8503.38,3.6,2,2557.67,33,56
2022-06-06,Adyar,45887.1,127,9122.67,3.4,2,3942.06,64,63
2022-03-14,OMR,43629.12,120,10342.11,3.1,3,3779.59,46,74
2023-10-27,Adyar,59651.21,143,13196.38,4.1,0,3803.02,57,86
2022-04-08,Velachery,44029.15,119,12205.69,3.8,0,3115.65,46,73
2023-09-25,Adyar,49745.33,138,10116.89,5.0,5,2447.84,74,64
2022-01-23,T Nagar,72321.66,194,16457.67,4.5,3,4427.52,109,85
2023-09-23,OMR,48942.2,132,9049.02,4.5,3,3781.72,48,84
2022-04-20,T Nagar,57380.42,158,15619.48,4.3,3,4450.28,78,80
2022-01-17,T Nagar,53408.3,133,14839.91,4.5,1,4714.46,60,73
2022-02-03,Anna Nagar,47012.79,131,13100.77,4.4,5,2760.29,57,74
2022-11-16,Adyar,52489.01,128,14217.45,4.3,6,2192.62,71,57
2023-11-24,T Nagar,60869.32,161,15175.47,3.8,2,3651.88,73,88
2023-03-20,Anna Nagar,47174.83,116,13058.98,3.9,1,2235.74,67,49
2023-03-15,Adyar,,136,11000.81,3.9,2,3787.95,56,80
2022-12-31,Adyar,67132.23,152,15398.12,3.3,3,3050.8,67,85
2023-04-09,Anna Nagar,51334.04,141,14301.33,4.0,3,4057.14,63,78
2022-05-20,Adyar,52146.71,124,11281.89,4.2,1,3538.9,72,52
2023-02-24,OMR,41823.88,99,11664.36,3.3,1,2709.45,47,52
2022-05-10,Adyar,41446.26,108,10848.32,3.5,4,3473.63,38,70
2022-09-29,T Nagar,45213.16,109,10716.06,4.6,2,2063.76,62,47
2023-03-24,Velachery,46951.52,120,10516.95,3.7,3,3133.92,53,67
2023-01-12,T Nagar,57166.25,140,13170.91,3.9,2,2867.34,51,89
2023-06-17,Velachery,40111.66,100,10698.19,4.7,1,2109.99,37,63
2022-10-26,Anna Nagar,46516.44,128,11387.71,3.7,1,3896.03,70,58
2023-07-16,Adyar,57744.94,130,10543.31,4.5,3,3985.25,64,66
2022-07-29,Adyar,47974.39,120,10149.23,4.2,1,1930.75,47,73
2022-11-05,OMR,53097.47,127,13964.29,4.0,1,4724.19,48,79
2023-12-23,Anna Nagar,67639.62,177,12418.89,3.7,0,5860.23,77,100
2023-02-12,Velachery,44741.15,124,8694.13,3.8,0,3383.39,44,80
2022-10-11,OMR,48495.56,116,12920.51,4.4,6,3457.38,52,64
2022-03-12,Anna Nagar,56693.05,130,11375.01,3.4,6,2298.89,49,81
2022-02-13,Adyar,64575.43,180,11828.5,3.9,2,4540.2,77,103
2023-06-12,Anna Nagar,42008.74,95,8076.1,3.9,2,2802.06,54,41
2022-08-11,T Nagar,56151.87,138,10522.13,4.2,1,3048.78,60,78
2022-04-23,T Nagar,59963.55,143,12729.15,4.4,4,4034.01,55,88
2023-03-07,Adyar,52645.79,133,10849.15,4.4,1,4499.7,58,75
2023-02-15,Anna Nagar,43723.59,104,9038.3,5.0,0,3739.82,47,57
2023-12-26,OMR,48659.58,123,10729.43,3.9,1,4282.51,57,66
2022-08-20,Adyar,51789.58,137,10810.48,4.8,0,3881.52,48,89
2023-06-23,Anna Nagar,42093.54,98,11755.03,3.9,0,3070.8,35,63
2023-07-28,Anna Nagar,49740.68,123,11763.83,4.0,2,3655.15,72,51
2022-09-21,Anna Nagar,44886.82,110,11687.65,3.8,1,2103.28,54,56
2023-05-02,Anna Nagar,39003.5,94,10806.13,4.1,4,2650.2,40,54
2022-11-22,Anna Nagar,58770.29,144,16219.37,4.9,0,2493.9,53,91
2023-05-28,T Nagar,63487.28,144,11877.22,3.8,1,3734.61,53,91
2023-03-27,OMR,38981.51,98,9513.09,4.1,3,2112.67,56,42
2023-05-17,OMR,40188.27,100,10281.33,4.5,0,1992.42,46,54
2022-04-11,OMR,43562.12,104,12094.0,4.0,3,3448.59,40,64
2022-04-09,Velachery,53382.44,137,13740.1,4.6,4,4735.98,57,80
2022-12-31,T Nagar,73685.78,167,18167.64,4.2,3,5332.35,68,99
2022-06-20,Anna Nagar,40373.67,108,8869.28,3.4,4,1704.55,45,63
2022-10-09,T Nagar,77825.96,175,18355.02,4.7,1,4086.66,70,105
2022-06-17,T Nagar,52632.98,128,12025.47,4.6,3,2383.69,53,75
2022-04-30,Adyar,59140.97,134,10764.51,3.9,4,2453.21,52,82
2022-11-12,Anna Nagar,62218.86,169,15294.03,3.9,2,5592.7,78,91
2022-06-04,Adyar,59802.17,133,16682.6,3.2,2,5379.73,76,57
2022-01-13,Anna Nagar,54926.61,146,13886.64,3.6,2,3207.12,74,72
2023-03-20,Adyar,56357.85,143,10239.97,3.7,2,4004.12,81,62
2022-11-24,OMR,57005.54,159,13014.99,3.8,0,4149.76,93,66
2023-10-20,Velachery,39148.88,91,10005.55,4.2,3,3163.48,36,55
2023-04-22,Adyar,62991.33,155,17231.67,4.0,1,5213.74,68,87
2023-12-03,T Nagar,91726.24,252,23598.93,3.8,2,7593.69,137,115
2022-05-25,Adyar,136109.92,308,24679.87,4.3,4,6764.43,140,168
2023-11-03,Velachery,43725.98,114,10125.66,4.1,3,3159.88,67,47
2022-12-07,T Nagar,57134.0,142,13611.39,3.2,3,3615.43,74,68
2022-11-11,Anna Nagar,47500.83,121,12142.42,4.6,2,2978.74,54,67
2022-10-03,Velachery,36667.83,94,8429.61,4.5,2,1854.4,36,58
2022-02-08,Velachery,40972.0,98,9305.81,4.0,3,1642.63,42,56
2023-09-14,Anna Nagar,47699.97,111,9865.97,4.2,1,3572.66,38,73
2023-04-11,Anna Nagar,40353.98,114,8879.21,4.0,2,2723.65,57,57
2023-09-28,Adyar,50712.35,138,13612.06,4.5,2,4535.05,50,88
2023-08-26,OMR,53107.71,123,12530.69,3.5,3,4603.58,58,65
2023-04-12,Adyar,51949.06,148,10998.01,4.2,3,4253.01,71,77
2022-04-28,T Nagar,47709.07,134,9615.68,4.4,1,4290.38,61,73
2022-12-25,Anna Nagar,59132.9,137,11947.86,4.2,1,2915.14,80,57
2022-05-15,Anna Nagar,51211.15,114,12635.58,4.2,1,2075.15,47,67
2023-04-04,Adyar,49060.11,134,11825.76,,1,2530.44,71,63
2023-02-19,Anna Nagar,56081.29,130,15404.86,4.2,6,3014.85,58,72
2022-07-31,Anna Nagar,50132.68,118,11847.98,4.4,1,3076.9,50,68
2023-03-21,Adyar,48639.69,129,13391.35,3.9,0,2525.5,49,80
2023-11-03,Adyar,52595.65,131,12059.5,3.4,4,3236.97,53,78
2023-05-05,Velachery,33990.48,90,6990.02,4.6,4,1786.59,45,45
2022-12-10,OMR,61806.42,165,15718.07,4.0,0,3417.06,89,76
2023-04-06,Adyar,46522.83,131,10699.18,3.8,3,4021.14,46,85
2022-08-24,Adyar,49566.33,135,9672.24,4.6,3,2385.98,69,66
2022-05-08,T Nagar,56119.97,145,11039.36,4.6,2,2338.5,64,81
2023-03-19,Velachery,44893.9,103,9005.41,4.3,2,3739.01,48,55
2022-12-21,Velachery,37523.92,87,8765.75,3.8,0,1722.13,44,43
2022-10-04,T Nagar,73321.35,205,18657.65,4.6,4,5711.64,122,83
2022-04-16,OMR,50837.12,115,11914.66,4.0,3,3821.46,62,53
2022-10-04,OMR,45277.09,124,8268.54,4.2,0,2985.81,61,63
2022-10-11,Velachery,43519.62,107,8489.02,4.3,4,2744.35,52,55
2023-01-16,Velachery,41478.97,106,10235.05,3.7,1,3680.86,53,53
2022-11-08,Adyar,51800.94,135,13570.82,4.3,3,2576.21,65,70
2023-11-02,Anna Nagar,53032.27,132,11508.0,4.3,2,4085.55,72,60
2022-12-12,T Nagar,59343.97,163,15712.18,3.9,3,4132.42,95,68
2022-05-05,Velachery,32800.16,93,8633.29,3.9,3,1742.2,53,40
2023-08-04,OMR,40868.47,114,9496.35,4.1,0,1684.97,59,55
2022-02-21,Anna Nagar,38990.14,105,8280.26,4.3,1,2389.0,50,55
2022-02-04,T Nagar,53615.84,149,13371.75,4.4,1,2590.76,81,68
2022-02-13,Velachery,43592.45,101,8707.38,4.4,2,2960.91,38,63
2023-09-28,Velachery,34673.17,91,6761.35,4.5,2,1891.73,45,46
2023-03-02,Velachery,34489.96,86,7184.31,3.6,3,2145.94,38,48
2022-11-29,Adyar,53309.38,135,14447.19,3.9,3,2917.11,51,84
2022-12-28,T Nagar,59172.17,143,15262.75,4.2,0,4043.72,58,85
2023-09-29,Velachery,40642.97,96,7985.02,3.4,4,2147.83,43,53
2023-08-05,OMR,49298.21,115,11309.73,3.8,1,3332.39,61,54
2023-03-15,Anna Nagar,44098.92,101,12054.79,4.1,1,3820.29,38,63
2023-07-29,OMR,54116.77,139,14296.18,4.1,3,3150.12,62,77
2023-05-06,OMR,44623.2,120,9792.77,3.7,2,3780.88,58,62
2022-07-03,Anna Nagar,57629.94,157,13039.79,4.0,3,5131.91,73,84
2023-08-26,Adyar,67334.84,166,17405.93,4.6,2,2926.04,75,91
2023-04-24,Anna Nagar,47194.29,106,12655.79,3.5,2,3103.48,57,49
2022-07-17,Velachery,46144.16,107,10973.91,4.6,0,1987.63,50,57
2023-02-13,T Nagar,54930.45,126,10076.96,4.8,1,3091.92,74,52
2023-12-22,T Nagar,63121.75,175,14537.12,3.5,2,3964.81,79,96
2023-09-13,OMR,45037.42,106,9404.47,3.8,1,3136.25,54,52
2022-05-20,Anna Nagar,43585.96,119,8254.12,4.7,1,3001.27,67,52
2023-05-03,Adyar,44277.46,106,10581.55,4.1,2,3045.24,40,66
2022-01-24,Velachery,51829.54,116,13637.12,4.3,5,2569.56,50,66
2023-12-04,Velachery,38012.0,93,10193.72,4.6,2,2509.87,47,46
2023-04-02,Velachery,43734.76,111,11443.67,4.7,6,2367.48,47,64
2023-05-01,Velachery,39511.62,103,10379.22,4.1,2,3259.31,42,61
2023-08-21,Velachery,31926.12,71,6352.28,3.7,3,2788.21,37,34
2022-03-12,OMR,44360.35,119,9766.56,4.6,2,2203.08,45,74
2022-12-08,T Nagar,52969.06,138,14405.25,4.3,2,3850.11,57,81
2023-10-18,OMR,45446.13,104,11661.03,4.2,0,2086.33,61,43
2022-11-09,T Nagar,51061.7,119,9794.85,4.2,1,2987.02,46,73
2022-12-30,Adyar,65465.96,159,16179.34,4.1,3,3633.41,82,77
2022-06-10,Velachery,31304.56,71,5907.47,3.1,5,2477.6,39,32
2022-05-25,Anna Nagar,43706.44,108,9791.11,4.5,1,2070.49,46,62
2023-02-15,OMR,44320.38,124,8117.35,4.0,3,2839.8,67,57
2023-04-07,Velachery,37185.03,97,7196.2,3.8,2,1953.78,50,47
2022-12-07,Adyar,42574.86,112,7819.42,4.0,1,3575.83,62,50
2023-06-29,Anna Nagar,38217.53,90,7774.21,4.3,1,2043.94,46,44
2022-02-03,Adyar,50797.24,114,11663.83,4.0,2,4231.27,66,48
2023-08-29,Adyar,,105,10059.02,4.9,0,2899.1,46,59
2023-10-03,T Nagar,56377.55,138,14113.91,3.9,1,3347.04,65,73
2022-05-14,Velachery,43455.99,117,11423.11,4.6,4,,56,61
2022-09-09,Anna Nagar,48528.34,123,9710.84,4.2,2,3188.8,65,58
2023-10-23,Adyar,56674.93,131,12734.42,4.7,3,2276.91,76,55
2022-10-19,Anna Nagar,42071.69,113,7849.28,3.6,3,3549.0,51,62
2023-05-13,Velachery,41038.39,96,10628.83,4.1,2,2665.42,35,61
2022-10-27,Anna Nagar,48291.92,107,8837.52,4.1,0,3005.03,50,57
2023-11-17,OMR,47195.62,118,11328.0,4.3,2,3989.98,51,67
2023-03-02,Adyar,48520.94,119,12252.04,4.2,5,3122.16,55,64
2022-05-15,T Nagar,53792.49,147,13104.07,4.1,3,4705.49,88,59
2023-05-06,Anna Nagar,52727.63,132,11549.07,3.7,5,4505.74,47,85
2022-05-25,T Nagar,50367.26,143,13141.34,4.4,0,4378.08,78,65
2023-07-22,Anna Nagar,53596.14,145,11374.5,4.6,3,4754.79,86,59
2022-01-26,Adyar,53123.6,128,10042.77,4.5,3,4705.03,65,63
2022-05-13,T Nagar,44394.91,100,8154.87,3.9,2,2263.7,42,58
2022-03-22,T Nagar,50822.82,125,13483.07,4.5,3,2833.51,60,65
2023-09-14,OMR,41113.99,107,10223.84,3.8,2,2492.67,44,63
2023-12-07,Anna Nagar,49835.05,111,9746.12,3.7,0,2559.98,45,66
2023-12-28,T Nagar,60328.87,158,15171.32,3.5,1,5354.53,90,68
2023-11-07,Adyar,51481.74,134,11593.97,4.3,3,2916.72,62,72
2023-07-25,OMR,38474.63,85,8194.74,3.9,1,2425.98,34,51
2022-11-19,Anna Nagar,54164.72,133,14223.29,4.5,3,3876.73,72,61
2023-03-27,Anna Nagar,49351.26,126,10528.1,4.1,2,3187.91,62,64
2022-03-18,Anna Nagar,43435.81,103,9294.72,4.0,2,3311.47,37,66
2022-06-26,Adyar,60824.17,162,14205.44,3.6,3,5331.94,68,94
2022-12-13,Adyar,54937.46,148,14764.94,3.8,1,2989.94,64,84
2023-04-10,Velachery,38966.24,109,10150.02,4.3,2,3136.51,41,68
2022-02-18,Adyar,52824.4,119,12205.47,4.1,3,2885.77,52,67
2023-07-17,T Nagar,54075.48,134,13211.51,4.2,3,3228.95,62,72
2022-09-05,OMR,44793.0,126,9476.56,3.5,3,3640.82,56,70
2023-08-10,Velachery,34621.06,79,9429.7,3.7,4,2596.87,28,51
2022-05-22,OMR,56170.89,145,10988.26,4.4,3,3723.94,70,75
2023-09-22,OMR,45066.94,104,12323.78,4.4,0,3651.8,37,67
2023-04-03,Anna Nagar,45396.96,127,8457.03,4.3,2,2241.13,45,82
2022-09-07,OMR,43191.12,113,9754.04,3.8,3,2036.34,65,48
2022-11-01,T Nagar,53778.76,130,12312.37,4.1,1,3465.2,48,82
2022-12-18,Anna Nagar,67027.34,185,13624.22,3.8,1,5195.49,77,108
2023-05-21,OMR,50206.78,132,9165.69,,1,3288.64,74,58
2022-05-05,Anna Nagar,43759.04,109,9249.47,4.1,5,3077.07,41,68
2022-04-09,OMR,40425.83,93,10005.38,3.9,1,3509.83,42,51
2022-11-02,Anna Nagar,,121,10683.35,4.4,5,3382.24,63,58
2022-10-07,OMR,48339.2,130,9312.18,3.9,1,1949.46,67,63
2022-05-22,Velachery,39970.63,105,11128.06,3.5,0,2181.89,48,57
2022-01-07,T Nagar,59077.84,133,13412.35,3.8,3,4044.32,77,56
2022-09-26,Velachery,43221.44,96,9897.22,4.4,0,2942.46,43,53
2023-03-31,OMR,45040.3,104,12108.69,3.6,0,3687.71,48,56
2022-11-03,Velachery,42551.38,99,10009.66,4.1,4,3369.2,51,48
2023-11-26,Velachery,52875.06,120,14773.34,3.8,2,3217.0,43,77
2022-08-07,Adyar,,174,13992.0,3.6,4,2919.37,85,89
2022-10-04,Adyar,59261.62,135,13887.64,3.6,4,2788.43,56,79
2022-01-31,Anna Nagar,,161,15723.14,3.9,2,3796.9,89,72
2022-07-23,Anna Nagar,54234.99,134,10091.12,4.3,2,4040.51,70,64
2023-09-24,T Nagar,69996.49,156,15149.55,4.4,5,4998.59,72,84
2022-04-09,Adyar,55815.86,139,12987.25,3.6,1,3339.89,60,79
2022-03-05,Anna Nagar,51390.31,128,12309.96,4.0,2,2227.97,68,60
2022-10-16,OMR,66809.71,156,12885.83,3.9,2,4455.23,66,90
2022-02-05,OMR,50909.85,144,10984.29,4.7,4,2946.33,76,68
2023-02-21,OMR,43247.56,109,9521.83,3.9,3,3250.62,52,57
2023-01-29,Anna Nagar,70166.54,187,16206.06,4.2,2,5995.26,102,85
2023-07-18,Velachery,39549.85,112,10207.21,5.0,2,2612.02,49,63
2023-11-19,Velachery,51362.88,121,10574.16,3.8,1,2373.58,63,58
2023-11-12,Velachery,54948.38,139,13883.86,4.4,3,2779.24,64,75
2023-09-02,T Nagar,59433.88,155,15911.39,3.5,1,2697.05,55,100
2022-07-12,Anna Nagar,42745.72,101,7962.2,4.1,2,3503.73,35,66
2023-07-11,Adyar,46326.11,105,9433.02,4.2,1,3715.34,47,58
2023-10-31,Adyar,57103.05,138,12843.28,3.6,2,4646.85,55,83
2022-06-08,OMR,34562.45,84,9442.94,4.3,1,1675.28,40,44
2023-09-15,Adyar,51692.54,134,10181.44,4.4,3,2648.08,47,87
2023-12-27,T Nagar,61389.95,145,17011.11,4.4,1,4406.99,85,60
2022-10-17,Anna Nagar,51761.64,138,12150.9,4.7,2,2780.6,79,59
2022-06-16,Anna Nagar,39699.91,111,10940.6,4.1,0,1637.9,58,53
2022-10-13,Velachery,,97,9761.61,4.3,5,2520.24,34,63
2023-01-23,Anna Nagar,48609.96,116,9324.55,3.7,2,4262.96,65,51
2023-01-25,OMR,43908.97,110,10694.43,4.1,3,2016.15,65,45
2023-02-03,OMR,38617.46,110,10369.01,4.1,1,3023.89,41,69
2023-07-01,OMR,48781.82,113,12613.88,3.5,6,3813.1,55,58
2023-11-28,T Nagar,54267.86,143,10933.78,4.0,2,3772.71,82,61
2023-08-09,Velachery,41817.73,98,9147.15,4.2,0,2906.34,53,45
2022-08-20,Velachery,43035.9,118,10314.75,3.8,0,2325.72,59,59
2023-10-13,Anna Nagar,47279.17,110,9731.3,4.1,4,3027.73,65,45
2022-11-01,Velachery,46308.99,131,10168.33,3.7,1,3913.44,62,69
2022-10-28,OMR,46521.87,109,10710.69,3.6,1,2938.05,44,65
2023-10-28,T Nagar,83858.74,196,21140.41,4.1,2,7145.11,70,126
2022-07-14,Anna Nagar,125304.73,333,33525.42,4.5,0,6157.52,139,194
2022-01-09,Velachery,47945.19,116,10486.2,4.0,3,2052.52,67,49
2023-07-04,Adyar,47055.39,130,8928.55,4.0,3,2643.16,66,64
